,super_opeid,mr_overall,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
0,30955,3.2900553020000003,3.4152270720000004,3.2262236659999997,3.227638791,3.03435998,2.892336795
1,3537,2.55210283,2.4817841549999997,2.77362053,2.75533641,2.55318521,2.4288803100000003
2,1541,2.8094943999999997,3.2139499129999995,2.9435675599999995,2.7396604300000003,2.64410691,2.64268904
3,7531,2.92469344,3.2033354099999998,2.98518375,2.97114972,2.89862567,2.83361995
4,1345,2.7222129100000005,2.98630165,2.8273487299999998,2.67350911,2.6955313399999996,2.5257561199999996
5,2666,2.22952808,2.365267855,2.35095126,2.22099704,2.260972975,2.14584096
6,2860,2.84617615,3.117988319,2.9182238699999994,2.93739091,2.71100121,2.67362265
7,2234,2.4520749650000004,2.8366868,2.527528305,2.486299775,2.50435079,2.295079295
8,11484,3.2044160589999997,1.488777925,3.39717106,3.296495368,3.124862961,3.3642430949999995
9,31275,2.72150259,2.75919077,2.90660481,2.7184784700000004,2.5448246340000003,2.67531859
10,31155,2.38129385,2.681349762,2.334648945,2.506034535,2.2555717599999996,2.241963776
11,1542,2.6176188099999997,3.05558769,2.62154004,2.93192847,2.57774335,2.445224365
12,10056,3.1041717500000003,3.28732297,3.12087808,3.06817084,3.09679686,2.90956989
13,1002,2.73446602,2.8782234300000002,2.79903161,2.661716555,2.67133541,2.51159949
14,1034,3.11501204,3.27134154,3.139095007,3.1282142000000004,2.9819719900000003,2.8637612500000005
15,5463,3.1440775149999998,3.4220988809999997,3.213255354,3.1256574630000005,3.0858217600000004,2.9269323
16,37,2.9016821299999997,3.06708223,2.9836625499999996,2.8783367500000003,2.73640666,2.75652104
17,2885,1.5044178279999998,1.348013128,1.613360733,1.628965156,1.5063909899999999,1.431838923
18,1544,2.794776425,2.86294972,2.83195255,2.735920165,2.716652105,2.795746915
19,5601,3.497708387,3.617451763,3.473345805,3.264355227,3.516738371,3.0764263910000005
20,1374,2.41627292,2.18529349,2.66011495,2.682161315,2.346538325,2.159950294
21,2235,2.1792983439999998,2.540553392,2.317516902,2.34803636,2.299033968,2.050257347
22,3229,2.196417583,2.4192792350000003,2.43601557,2.4451054599999997,2.023865119,2.067613308
23,3806,2.56222979,2.85260902,2.94958431,2.384180195,2.365117846,2.301069335
24,2668,2.2995859050000003,2.8264708099999996,2.4926415449999997,2.222713752,2.192379818,2.259145965
25,1111,2.93025677,3.05336057,3.0658413700000002,2.9701515199999995,2.82697691,2.78535836
26,2057,2.9095781599999997,3.12196791,2.9569314099999997,2.93828578,2.7261703900000005,2.80539536
27,3230,2.085455176,2.4269461039999998,2.331687766,2.057216961,2.15174133,1.9768340919999998
